class	class_label	OMIM	Approved Gene Symbol (HGNC)
MONDO:0014476	episodic ataxia type 8	OMIM:616055	EA8
MONDO:0013831	KTCN6	OMIM:614623	KTCN6
MONDO:0007756	hyperkeratosis lenticularis perstans (disease)	OMIM:144150	HLP
MONDO:0013650	hypotrichosis 10	OMIM:614238	HYP10
MONDO:0012882	major affective disorder 9	OMIM:612372	MAFD9
MONDO:0013250	autosomal recessive nonsyndromic deafness 85	OMIM:613392	DFNB85
MONDO:0012846	GEFSP6	OMIM:612279	GEFSP6
MONDO:0013744	cataract 37	OMIM:614422	CTRCT37
MONDO:0011265	STHAG2	OMIM:602639	HYD2
MONDO:0012306	cardiomyopathy, familial restrictive, 2	OMIM:609578	RCM2
MONDO:0010259	retinitis pigmentosa 24	OMIM:300155	RP24
MONDO:0011659	HTX3	OMIM:606325	HTX3
MONDO:0012079	ASPG2	OMIM:608631	ASPG2
MONDO:0010579	X-linked corneal dermoid	OMIM:304730	CND
MONDO:0010905	cone-rod dystrophy 1	OMIM:600624	CORD1
MONDO:0013024	chronic thromboembolic pulmonary hypertension	OMIM:612862	CTEPH1
MONDO:0013704	MRT30	OMIM:614342	MRT30
MONDO:0000910	retinitis pigmentosa 6	OMIM:312612	RP6
MONDO:0024527	glomerulopathy with fibronectin deposits 1	OMIM:137950	GFND1
MONDO:0012949	ANIB9	OMIM:612586	ANIB9
MONDO:0012810	ANIB7	OMIM:612161	ANIB7
MONDO:0012364	dilated cardiomyopathy 1Q	OMIM:609915	CMD1Q
MONDO:0011636	Diamond-Blackfan anemia 2	OMIM:606129	DBA2
MONDO:0012236	KTCN4	OMIM:609271	KTCN4
MONDO:0013313	ectodermal dysplasia-cutaneous syndactyly syndrome	OMIM:613576	EDSS2
MONDO:0007969	Melkersson-Rosenthal syndrome	OMIM:155900	MROS
MONDO:0014388	familial median cleft of the upper and lower lips	OMIM:615892	OFC14
MONDO:0012889	SS3	OMIM:612388	SS3
MONDO:0010877	Charcot-Marie-Tooth disease type 5	OMIM:600361	HMSN5
MONDO:0010454	MRX88	OMIM:300852	MRX88
MONDO:0012599	HYT8	OMIM:611014	HYT8
MONDO:0012403	SLEB7	OMIM:610065	SLEB7
MONDO:0012551	AA2	OMIM:610753	AA2
MONDO:0010433	SLEB15	OMIM:300809	SLEB15
MONDO:0012874	POROK6	OMIM:612353	POROK6
MONDO:0008006	Mobius syndrome	OMIM:157900	MBS1
MONDO:0010534	X-linked spinocerebellar ataxia type 4	OMIM:301840	SCAX4
MONDO:0012857	POROK5	OMIM:612293	POROK5
MONDO:0012378	GINGF3	OMIM:609955	GINGF3
MONDO:0012059	polydactyly, postaxial, type A4	OMIM:608562	PAPA4
MONDO:0012629	paroxysmal nonkinesigenic dyskinesia 2	OMIM:611147	PNKD2
MONDO:0013665	EJM9	OMIM:614280	EJM9
MONDO:0010540	bullous dystrophy, macular type	OMIM:302000	EBM
MONDO:0010426	X-linked endothelial corneal dystrophy	OMIM:300779	XECD
MONDO:0012338	EIG4	OMIM:609750	EIG4
MONDO:0042499	benign familial neonatal-infantile seizures 1	OMIM:601764	BFIS1
MONDO:0012303	migraine with or without aura, susceptibility to, 8	OMIM:609570	MGR8
MONDO:0010273	lymphoma, Hodgkin, X-linked pseudoautosomal	OMIM:300221	HDPA
MONDO:0010274	TGCT1	OMIM:300228	TGCT1
MONDO:0012609	Alzheimer disease 12	OMIM:611073	AD12
MONDO:0010231	MRX20	OMIM:300047	MRX20
MONDO:0014161	VUR7	OMIM:615390	VUR7
MONDO:0011591	cataract 26 multiple types	OMIM:605749	CTPL1
MONDO:0014774	neuroblastoma, susceptibility to, 7	OMIM:616792	NBLST7
MONDO:0012898	narcolepsy 4, susceptibility to	OMIM:612417	NRCLP4
MONDO:0012715	MGR12	OMIM:611706	MGR12
MONDO:0013470	generalized epilepsy with febrile seizures plus, type 7	OMIM:613863	GEFSP7
MONDO:0010403	albinism-deafness syndrome	OMIM:300700	ADFN
MONDO:0011616	holoprosencephaly 6	OMIM:605934	HPE6
MONDO:0014291	autosomal dominant nonsyndromic deafness 54	OMIM:615649	DFNA54
MONDO:0007360	branchiootic syndrome 2	OMIM:120502	BOS2
MONDO:0012270	Tukel syndrome	OMIM:609428	TUKLS
MONDO:0014009	autosomal recessive congenital ichthyosis 7	OMIM:615022	ARCI7
MONDO:0012167	ATFB2	OMIM:608988	ATFB2
MONDO:0011691	amyotrophic lateral sclerosis type 3	OMIM:606640	ALS3
MONDO:0013368	mammary-digital-nail syndrome	OMIM:613689	MDNS
MONDO:0010458	hypospadias 4, X-linked	OMIM:300856	HYSP4
MONDO:0010332	X-linked intellectual disability-cubitus valgus-dysmorphism syndrome	OMIM:300471	CVMRF
MONDO:0011055	distal monosomy 10p	OMIM:601362	DGS2
MONDO:0007802	hypospadias 3, autosomal	OMIM:146450	HYSP3
MONDO:0013102	BCC3	OMIM:613059	BCC3
MONDO:0014308	familial temporal lobe epilepsy 6	OMIM:615697	ETL6
MONDO:0011389	autosomal dominant nonsyndromic deafness 16	OMIM:603964	DFNA16
MONDO:0007963	melanoma, cutaneous malignant, susceptibility to, 1	OMIM:155600	CMM
MONDO:0011201	ETM2	OMIM:602134	ETM2
MONDO:0007939	malignant hyperthermia, susceptibility to, 2	OMIM:154275	MHS2
MONDO:0007082	alopecia areata 1	OMIM:104000	AA1
MONDO:0011563	GINGF2	OMIM:605544	GINGF2
MONDO:0009887	desquamative interstitial pneumonia	OMIM:263000	DIP
MONDO:0010269	Coats disease	OMIM:300216	CTD
MONDO:0014001	Usher syndrome type 1K	OMIM:614990	USH1K
MONDO:0011711	specific language impairment 2	OMIM:606712	SLI2
MONDO:0013705	MRT19	OMIM:614343	MRT19
MONDO:0012636	restless legs syndrome, susceptibility to, 6	OMIM:611185	RLS6
MONDO:0012755	episodic ataxia type 7	OMIM:611907	EA7
MONDO:0010329	MRX77	OMIM:300454	MRX77
MONDO:0011780	specific language impairment 3	OMIM:607134	SLI3
MONDO:0011567	dilated cardiomyopathy 1K	OMIM:605582	CMD1K
MONDO:0011942	SLEN1	OMIM:607965	SLEN1
MONDO:0011587	cataract 25	OMIM:605728	CTRCT25
MONDO:0012334	hereditary spastic paraplegia 29	OMIM:609727	SPG29
MONDO:0011418	dyslexia, susceptibility to, 3	OMIM:604254	DYX3
MONDO:0024466	facial paresis, hereditary congenital, 1	OMIM:601471	MBS2
MONDO:0011737	PARK10	OMIM:606852	PARK10
MONDO:0012302	PFM3	OMIM:609566	PFM3
MONDO:0011607	narcolepsy 2, susceptibility to	OMIM:605841	NRCLP2
MONDO:0010413	MRX95	OMIM:300716	MRX95
MONDO:0010473	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome	OMIM:300886	MRXS32
MONDO:0012739	microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome	OMIM:611863	MNDEC
MONDO:0013080	primary biliary cholangitis 3	OMIM:613008	PBC3
MONDO:0012895	torsion dystonia 17	OMIM:612406	DYT17
MONDO:0013106	BCC6	OMIM:613063	BCC6
MONDO:0013908	TTPP3	OMIM:614834	TTPP3
MONDO:0011522	hereditary spastic paraplegia 14	OMIM:605229	SPG14
MONDO:0011564	cone-rod dystrophy 8	OMIM:605549	CORD8
MONDO:0024560	PDA1	OMIM:607411	PDA1
MONDO:0010464	X-linked cerebral-cerebellar-coloboma syndrome syndrome	OMIM:300864	CCCSX
MONDO:0010309	MRX42	OMIM:300372	MRX42
MONDO:0012264	PEE2	OMIM:609402	PEE2
MONDO:0010352	MRX82	OMIM:300518	MRX82
MONDO:0013105	BCC5	OMIM:613062	BCC5
MONDO:0011850	migraine with or without aura, susceptibility to, 5	OMIM:607508	MGR5
MONDO:0010230	MRX23	OMIM:300046	MRX23
MONDO:0012532	hereditary hemorrhagic telangiectasia type 4	OMIM:610655	HHT4
MONDO:0010893	malignant hyperthermia, susceptibility to, 4	OMIM:600467	MHS4
MONDO:0013980	PPKP1B	OMIM:614936	PPKP1B
MONDO:0012458	hypertension, essential, susceptibility to, 5	OMIM:610261	HYT5
MONDO:0013124	pelvic organ prolapse, susceptibility to, 2	OMIM:613088	PVOP2
MONDO:0011689	dyslexia, susceptibility to, 6	OMIM:606616	DYX6
MONDO:0010300	MRX53	OMIM:300324	MRX53
MONDO:0007282	cataract 29	OMIM:115800	CTRCT29
MONDO:0008585	HELLP syndrome	OMIM:189800	PEE1
MONDO:0013433	primary sclerosing cholangitis	OMIM:613806	PSC
MONDO:0010412	X-linked intellectual disability-craniofacioskeletal syndrome	OMIM:300712	CFSS
MONDO:0014604	Parkinson disease 21	OMIM:616361	PARK21
MONDO:0012370	autosomal recessive nonsyndromic deafness 51	OMIM:609941	DFNB51
MONDO:0012319	major affective disorder 3	OMIM:609633	MAFD3
MONDO:0010324	MRX81	OMIM:300433	MRX81
MONDO:0012358	LPRS1	OMIM:609888	LPRS
MONDO:0012418	autosomal recessive nonsyndromic deafness 62	OMIM:610143	DFNB62
MONDO:0011219	Fried's tooth and nail syndrome	OMIM:602401	ECTD8
MONDO:0012752	ANIB6	OMIM:611892	ANIB6
MONDO:0014079	restless legs syndrome, susceptibility to, 8	OMIM:615197	RLS8
MONDO:0009072	Dandy-Walker syndrome	OMIM:220200	DWS
MONDO:0010698	optic atrophy 2	OMIM:311050	OPA2
MONDO:0009178	epidermolysis bullosa dystrophica Neurotrophica	OMIM:226500	EBR3
MONDO:0010285	syndromic X-linked intellectual disability Abidi type	OMIM:300262	MRXSAB
MONDO:0011755	SLSN3	OMIM:606995	SLSN3
MONDO:0011747	dyslexia, susceptibility to, 5	OMIM:606896	DYX5
MONDO:0012150	attention deficit-hyperactivity disorder, susceptibility to, 2	OMIM:608904	ADHD2
MONDO:0008374	retinal cone dystrophy type 1	OMIM:180020	RCD1
MONDO:0012619	MRT11	OMIM:611097	MRT11
MONDO:0012168	dyslexia, susceptibility to, 8	OMIM:608995	DYX8
MONDO:0011056	Wilms tumor 4	OMIM:601363	WT4
MONDO:0011407	facial paresis, hereditary congenital, 2	OMIM:604185	MBS3
MONDO:0012109	hypertension, essential, susceptibility to, 4	OMIM:608742	HYT4
MONDO:0012119	ASPG3	OMIM:608781	ASPG3
MONDO:0013622	platelet-type bleeding disorder 9	OMIM:614200	BDPLT9
MONDO:0008661	vitiligo	OMIM:193200	VAMAS6
MONDO:0012134	EJM3	OMIM:608816	EJM3
MONDO:0010228	DFNX3	OMIM:300030	DFNX3
MONDO:0013632	autosomal dominant nonsyndromic deafness 33	OMIM:614211	DFNA33
